,,PER UNIT AREA,,,CITY TOTAL
,,LEAF AREA (M2/HA),,LEAF BIOMASS KG/HA),,LEAF AREA KM2),,LEAF BIOMASS (MT)
LANDUSE,SPECIES COMMON NAME,MEAN,SE,MEAN,SE, N ,SE, N ,SE

,TOTAL,6.7812076135,3.8952541203,0.8216458634,0.5936619149,0.0058597093,0.003365928,0.709992407,0.5129891973

Com
,MACLASS,2.6548135738,1.7120274953,0.1987873905,0.1281933623,0.002679052,0.0017276583,0.2006023194,0.1293637677
,NADO,0.6274038915,0.6272277376,0.04697881,0.0469656199,0.0006331321,0.0006329543,0.0474077265,0.047394416
,MA17,0.5928520629,0.59268561,0.0443916348,0.0443791711,0.0005982648,0.0005980968,0.0447969304,0.0447843529
,CESI4,0.5863049975,0.5861403828,0.0345616071,0.0345519034,0.000591658,0.0005914918,0.0348771546,0.0348673623
,OSFR,0.4155817806,0.4154650992,0.0361375461,0.0361273999,0.000419376,0.0004192583,0.0364674819,0.0364572431
,TRSE6,0.2665147643,0.2664399359,0.0199561186,0.0199505156,0.000268948,0.0002688725,0.020138318,0.0201326638
,MEAZ,0.2246031683,0.2245401072,0.016817858,0.0168131361,0.0002266538,0.0002265902,0.0169714051,0.0169666401
,RHSP1,0.0541331663,0.0541179675,0.0108266333,0.0108235935,0.0000546274,0.0000546121,0.0109254804,0.0109224129
,TOTAL,5.4222074051,2.4552093661,0.4084575984,0.1800918992,0.0054717122,0.0024776254,0.4121868163,0.1817361382

Ind
,MACLASS,3.930299975,1.0517632211,0.2942933861,0.0787540294,0.0126275036,0.003379168,0.9455234484,0.2530256708
,CAJA9,2.7573171714,2.0367085978,0.206462665,0.1525048657,0.008858874,0.0065436596,0.6633356377,0.4899767827
,ELPU,1.3370705835,1.336826351,0.100117302,0.1000990143,0.0042958206,0.0042950359,0.3216628748,0.3216041191
,ABGR4,1.2038246804,1.1951672577,0.0901401022,0.0894918509,0.0038677202,0.0038399051,0.2896075288,0.287524788
,QUAL2,0.8689545519,0.8687958266,0.0857556745,0.0857400101,0.0027918293,0.0027913194,0.2755209763,0.275470649
,NADO,0.697266658,0.6971392936,0.052210001,0.0522004642,0.0022402202,0.002239811,0.1677434239,0.1677127835
,CUMA,0.6110023884,0.6108907812,0.0956855172,0.0956680391,0.0019630651,0.0019627066,0.3074241709,0.3073680161
,GA2,0.4763313954,0.4762443876,0.0356667888,0.0356602738,0.0015303861,0.0015301065,0.1145923992,0.1145714674
,RHIN21,0.4054811878,0.3115019187,0.0303616601,0.0233246711,0.0013027543,0.0010008121,0.0975477631,0.0749389029
,SPTH2,0.4011211751,0.4010479053,0.0300351906,0.0300297043,0.0012887462,0.0012885108,0.0964988625,0.0964812357
,ILCR,0.3704706308,0.3704029597,0.0495273103,0.0495182636,0.0011902703,0.0011900529,0.1591243143,0.1590952483
,DUER,0.3584433577,0.3583778836,0.0268395568,0.0268346542,0.0011516283,0.001151418,0.0862317385,0.0862159872
,OSFR,0.2829336614,0.2828819801,0.0246029271,0.024598433,0.0009090262,0.0009088602,0.0790457603,0.0790313216
,JUCH,0.2342620552,0.1888124589,0.0650727931,0.0524479053,0.0007526512,0.000606628,0.2090697741,0.1685077769
,RHSP1,0.1534818487,0.0911635304,0.0306963697,0.0182327061,0.0004931157,0.0002928957,0.0986231385,0.0585791321
,HYMO2,0.1531873718,0.1531593903,0.011470379,0.0114682838,0.0004921696,0.0004920797,0.0368527219,0.0368459903
,MAJA,0.1183451803,0.1183235631,0.0102021707,0.0102003072,0.0003802265,0.000380157,0.0327781462,0.0327721589
,RHIN1,0.0716898689,0.0716767738,0.0143379738,0.0143353548,0.0002303295,0.0002302874,0.0460659024,0.0460574879
,TOTAL,14.431483742,5.2678915365,1.2534777681,0.4381100456,0.0463663369,0.016924998,4.0272485819,1.4075862413

CITY TOTAL,,20.965854473,3.8230163821,1.7964916475,0.3261850441,0.3091383793,0.0563698031,26.488999869,4.8095495477
